"filename", "language", "JavaScript", "Vue", "SCSS", "Markdown", "HTML", "JSON", "TypeScript", "comment", "blank", "total"
"c:\source\codeworks\710\710.client\src\services\AccountService.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\source\codeworks\710\710.client\src\services\AnimationService.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"c:\source\codeworks\710\710.client\src\services\AuthService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\source\codeworks\710\710.client\src\services\AxiosService.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\source\codeworks\710\710.client\src\services\MaintenanceService.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\source\codeworks\710\710.client\src\services\RecordsService.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 1, 8, 69
"c:\source\codeworks\710\710.client\src\services\VehicleService.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 12, 106
"c:\source\codeworks\710\710.client\src\services\utils\Logger.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 2, 27
"c:\source\codeworks\710\710.client\src\services\utils\SocketHandler.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 3, 6, 49
"c:\source\codeworks\710\710.client\vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"Total", "-", 546, 2332, 138, 95, 22, 33267, 4, 236, 172, 36812
